Name,Identité & username,Date,OBSERVATION CAMILLE,INVENTION,Procès,Created by,Last edited by,Created time,Last edited time
,event,,PAUSE,,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
"not a lot of foot traffic, but everyone is inside the event center
at the time","Goldenera, UCE-1","May 3, 2015 6:30 PM",INVENTION DE DIALOGUE,/," I just gave him some additional observations, not a
lot of foot traffic, but everyone is inside the event center
at the time. ",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 5:37 PM"
"But it’s over soon, the event ends at 7pm, in about half n hour","Goldenera, UCE-1","May 3, 2015 6:31 PM",INVENTION DE DIALOGUE,/,"And then I told him that the event was going
to be ending at 7:00 which was about 30 minutes from that
time.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 4:06 PM"
For now all the kufr are hiding in the building,"Goldenera, UCE-1","May 3, 2015 6:33 PM",INVENTION DE DIALOGUE,/," So, you know, I described that I was on the outside
and everyone else was on the inside, and that a ticket was
required. It was a closed event. Closed to the public.",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 14, 2023 6:37 PM"
"Yeah, they are there, but you can voice
your concerns to the hosts after their detail is gone","Hendricks, accepted","May 3, 2015 6:35 PM","DIALOGUE REEL, GOLD",,"And he said, ""Yeah, they are there, but you can voice
your concerns to the hosts after their detail is gone,""",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
"Yeah, as soon as they get out","Goldenera, UCE-1","May 3, 2015 6:35 PM",INVENTION DE DIALOGUE,/,,Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 5:38 PM"
"They will be outside yapping their
mouths and thanking the pigs.","Hendricks, accepted","May 3, 2015 6:35 PM","DIALOGUE REEL, GOLD",,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
"I can't believe there are no other Muslims there at least with signs, SMH","Hendricks, accepted","May 3, 2015 6:36 PM","DIALOGUE REEL, GOLD",,SMH : shaking my head.,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
There are more ways to skin a chicken. They expect protest.,"Hendricks, accepted","May 3, 2015 6:38 PM","DIALOGUE REEL, GOLD",,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
Haqq,"Goldenera, UCE-1","May 3, 2015 6:38 PM",INVENTION DE DIALOGUE,/,,Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
"They don't realize that there's a lion staring them down from
behind the tall grass in the woods","Goldenera, UCE-1","May 3, 2015 6:39 PM","DIALOGUE REEL, GOLD",,"Q. Did you reference yourself being a lion?
A. I did. I said that the law enforcement officers
""Don't realize that there's a lion staring them down from
behind the tall grass in the woods."" And I was referring to
myself.",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 14, 2023 6:30 PM"
Allah akbar,"Hendricks, accepted","May 3, 2015 6:39 PM","DIALOGUE REEL, GOLD",,"A. So he responded with the same response that terrorists
use when conducting a terrorist attack which is, ""Allah
akbar."" He spelled that phrase as A-L-L-A-H, A-K-B-A-R.
That means God is great.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 5:40 PM"
I wish you could take their photos,"Hendricks, accepted","May 3, 2015 6:39 PM",DIALOGUE REEL,/,"A. So when he said he wished that ""I could take their
photos.""",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 10:52 AM"
Gonna see how close I can get iA,"Goldenera, UCE-1","May 3, 2015 6:39 PM",INVENTION DE DIALOGUE,/,"I told him that I'm going to see how close I can
get. That basically I'm going in. And I conveyed to him that I was terminating our conversation. I used the capital letters at the bottom.
That's the standard way for terminating a conversation. So
he knew that that was going to be the last time he was going
to hear from me at the conclusion of that conversation.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 14, 2023 5:42 PM"
"You may see her get into a car to go to airport or catch a flight, etc","Hendricks, accepted","May 3, 2015 6:39 PM",DIALOGUE REEL,,"A. So when he knew that I was going in, he told me, he
gave me another piece of advice. And he said, ""You may see
her get into a car to go to airport or catch a flight,
etcetera.""
What I understood that, he was giving me some last minute advice for how I could best locate Pamela Geller.",Camille Reysset,Loïs,"September 13, 2023 11:55 AM","September 15, 2023 10:55 AM"
UCE - 1 appelle son contact auprès de la police de Garland pour le prévenir qu’il quittait sa position,event,,,,"before I physically moved, I called my
point of contact, again, who was the task force officer,
Garland Police Department officer assigned to the FBI.
And I asked for his permission if I could leave my
place, do a drive by of the convention center and take
pictures of it as I was driving, which I could later use for
future conversations.",Camille Reysset,Camille Reysset,"September 13, 2023 11:55 AM","September 13, 2023 12:46 PM"
